,id,name,release_date,description,duration_ms,url
0,6rOGcz6IVa1uBBzln6ubxm,Con el pelado de El Transportador,2023-10-06,"Se estrenó una nueva de la saga Saw y se hizo lo que había que hacer. Calu y Flor no sólo hablan de El Juego del Miedo X (2023), también tratan de ¿rankear? ¿analizar? ¿distinguir? ¿ordenar? todas las películas de este universo creado por James Wan y Leigh Whannell.  Se discuten también cuestiones vinculadas con Glen Danzig y la política de los cines con respecto a hablar en medio de una función, la película seleccionada para representar a Argentina en los Oscar y Mean Girls en Tik Tok.   🐐 Si querés escuchar más podés suscribirte a la versión paga en hoytrasnoche.com 🐐",4922044,https://open.spotify.com/episode/6rOGcz6IVa1uBBzln6ubxm
1,4y53XuXDwBfrnMdDNTzX7E,118: Si yo voy a ver esta película vos también,2023-09-29,"Una vez más Calu (Santiago Calori) y Flor (Fio Sargenti) reciben al Negro Martí. Nos ponemos de pie, aplaudimos y agradecemos.  El tema es que vieron Los Indestructibles 4 (Expend4bles, 2023). Y bueno, viejo, todo no se puede. Ah, y se terminó la huelga de guionistas así que tratamos de repasar algunos de los puntos más importantes, además de comentar varias de las cosas que viene diciendo Martin Scorsese en los últimos días.   🐐 Si esto te gusta podés pasar por hoytrasnoche.com 🐐",4855301,https://open.spotify.com/episode/4y53XuXDwBfrnMdDNTzX7E
2,6YL2H8K0xeMeAy0dqyAWw4,117: Te falta el vocoder y sos Magnetto,2023-09-22,"La película de este episodio es Rotting in the Sun (2023) de Sebastián Silva. Muchos pitos, un perrito, una señora atribulada, un influencer perdido y otros mambos. Claro que hay coyuntura y, AH, ANUNCIO IMPORTANTE sobre *el otro podcast*.  🐐 Si querés más de todo esto pasá por hoytrasnoche.com 🐐  Conducen Fiorella Sargenti y Santiago Calori. ",4277446,https://open.spotify.com/episode/6YL2H8K0xeMeAy0dqyAWw4
3,1lzaslzGmPKErx5vBr6jJC,116: Hay un hilo rojo entre vos y los copitos,2023-09-15,"Netflix estrenó El Conde (2023), la nueva película de Pablo Larraín en la que Pinochet es Drácula, y Flor y Calu la vieron. Es un título particularmente interesante para charlar (justo ahora), para pensar cómo y cuándo repasamos cinematográficamente la historia. En coyuntura tenemos un poco de Sean Penn, un poco de Drew Barrymore y otro poco de no sé qué.  Para cerrar: el caso Danny Masterson, Scientology, Ashton Kutcher, true crime. 🐐 Si querés más de todo esto pasá por hoytrasnoche.com 🐐",4973897,https://open.spotify.com/episode/1lzaslzGmPKErx5vBr6jJC
4,3SJTwkPCBzAlMUSxPnXTh8,115: Es como coger con alguien que trabaja en el Puerto de frutos,2023-09-08,"Con los actores de paro los directores siguen hablando, hablando y hablando. Por un lado David Fincher, Richard Linklater y Nicolas Winding Refn opinan de cosas. Por el otro en Venecia terminó el festival del cancelado, a Woody Allen lo aplaudieron y el tipo se metió a decir cualquier cosa mientras que Roman Polanski se fue goleado. Santiago Calori y Fiorella Sargenti también hablan del tema de Rotten Tomatoes y vieron una película que se llama Perpetrator (2023). 🐐 Si querés más de todo esto pasá por hoytrasnoche.com 🐐",4714501,https://open.spotify.com/episode/3SJTwkPCBzAlMUSxPnXTh8
5,72f2za90l1aEwCUyxOW7ma,114: Moyano o Mad Max,2023-09-01,"Calo y Flor día se decidieron y vieron eeesssa película que tanto pedían: Háblame (Talk to Me) de Danny y Michael Philippou. 🤝 También encontrás alguna que otra charla sobre edadismo en la industria del entretenimiento, patrones de belleza destructivos, billonarios tristes y productores con delirio mesiánico. 🐐 Si querés más de todo esto pasá por hoytrasnoche.com 🐐",4841038,https://open.spotify.com/episode/72f2za90l1aEwCUyxOW7ma
6,7nK48l3gOkoAHoImA3Bkrq,113: La que le sacó la nariz a Voldemort,2023-08-25,"Este es un episodio de Hoy Trasnoche en el que SE HABLA DE UNA PELÍCULA DE SUPERHÉROES QUÉ ESTÁ PASANDO DIOS. Sí, es Blue Beetle pero a la vez más que eso porque también charlamos sobre Flash, James Gunn, cómo desvarió Marvel y más. Para saber si es joda o no vas a tener que escuchar.",4717087,https://open.spotify.com/episode/7nK48l3gOkoAHoImA3Bkrq
7,5t6rd6KmCtJ1Fhrm9w2V2V,112: Lars Von Trier es Gerardo Romano con talento,2023-08-18,"Esta semana tocó etiqueta “documental”: Bama Rush (2023) de Rachel Fleit y Beyond Human Nature (2023) de Michael Neelsen.  Como cuestiones varias también se charla sobre el reclamo sindical de la actriz de La Monja por el uso de su imagen, la polémica por la nariz de Bradley Cooper y la performance busca novia de Lars Von Trier. Si te gusta este podcast podés ayudar a que siga existiendo suscribiéndote en hoytrasnoche.com, ¿exagerados y tremendistas? Pero claro.",4836127,https://open.spotify.com/episode/5t6rd6KmCtJ1Fhrm9w2V2V
8,6LuA2Qqcg8UlAz8UAVEChK,111: Se fue un gran amigo,2023-08-11,"En este Ayer Trasnoche Santiago Calori y Fiorella Sargenti (aka Calu y Flor) homenajean al director William Friedkin. Sí, el de El Exorcista y Contacto en Francia, pero no eligieron ninguna de esas dos películas como eje así que mis-te-rio.Seguimos con la saga ""¿qué vio Paul Schrader?"" y tal vez aparece por ahí un ""devolvé la guita"" para Ridley Scott.(Si te gusta este podcast andá a hoytrasnoche.com y suscribite para escuchar contenido exclusivo, dale)",5110047,https://open.spotify.com/episode/6LuA2Qqcg8UlAz8UAVEChK
9,1yiU0DjQjfnL5uOHrQfqSW,110: Ese es el problema de la democracia,2023-08-04,"En un episodio maratónico Calu y Flor se meten, de una forma u otra, con dos películas.  Hubo indignación, confusión y más pero no te vamos a decir cuales son, vas a tener que darle play.  Bah, no, a ver, pará, no digas nada pero una de ellas es La Noche del Demonio: La Puerta Roja, de Patrick Wilson. Por el mismo precio también te llevás una actualización sobre la huelga de actores y guionistas en Hollywood y una mini guerra civil: El Conjuro vs Insidious.",5197374,https://open.spotify.com/episode/1yiU0DjQjfnL5uOHrQfqSW
